order_id,customer_id,seller_id,product_ids,product_category,order_purchase_timestamp,order_estimated_delivery_date,order_delivered_customer_date,shipping_limit_date,delivery_time_hours,price,freight_value,item_count,total_weight_kg,total_volume_l,customer_city,customer_state,customer_lat,customer_long,seller_city,seller_state,seller_lat,seller_long,distance_km,purchase_hour,purchase_weekday,purchase_month,is_promo,is_holiday,seller_median_delivery_days
O1000011,C10010,S0129,"P00271,P00793,P00650",home_decor,19-10-2024 9.54,12-11-2024 2.36,15-11-2024 10.08,09-11-2024 9.54,70,696.46,51.87,3,2.937,17.977,Coimbatore,Tamil Nadu,11.229386,77.497912,Mumbai,Maharashtra,19.003278,72.866311,996.97,9,5,10,0,1,5.44
O1000012,C10011,S0037,"P00720,P00453,P00249",toys,21-10-2024 19.23,23-11-2024 13.55,30-11-2024 3.19,20-11-2024 19.23,93,295.94,26.68,3,1.762,27.465,Lucknow,Uttar Pradesh,27.465866,81.883801,Bengaluru,Karnataka,12.696066,77.407035,1707.08,19,0,10,0,0,3.42
O1000013,C10012,S0020,"P00617,P00548,P00273,P00435",automotive,24-12-2024 1.04,22-01-2025 13.23,27-01-2025 20.26,20-01-2025 1.04,85,408.97,134.12,4,9.353,8.244,Lucknow,Uttar Pradesh,28.067846,81.831539,Goa,Goa,15.35081,74.109111,1622.36,1,1,12,0,0,1.5
O1000014,C10013,S0189,"P00109,P00793",home_decor,12-01-2024 13.41,01-02-2024 13.46,06-02-2024 10.56,29-01-2024 13.41,66,100.14,52.54,2,3.97,7.934,Nagpur,Maharashtra,21.991228,78.468873,Kolkata,West Bengal,22.788336,88.356198,1020.2,13,4,1,0,0,2.49
O1000015,C10014,S0108,"P00025,P00268,P00499",fashion,20-05-2024 3.53,01-06-2024 9.45,04-06-2024 20.42,31-05-2024 3.53,50,328.51,44.25,3,5.038,20.45,Mumbai,Maharashtra,20.52223,73.17254,Nagpur,Maharashtra,20.950047,79.002718,608.12,3,0,5,0,0,2.17
O1000016,C10015,S0100,"P00701,P00485,P00374,P00658",beauty,16-10-2024 3.16,21-11-2024 14.54,25-11-2024 14.17,19-11-2024 3.16,95,256.61,56.45,4,4.082,20.736,Delhi,Delhi,27.958648,77.728434,Chennai,Tamil Nadu,12.961903,80.368309,1689.91,3,2,10,0,0,4.53
O1000017,C10016,S0082,"P00429,P00218",beauty,06-11-2024 9.33,21-11-2024 23.32,25-11-2024 9.46,19-11-2024 9.33,56,474.83,49.68,2,3.283,16.667,Kanpur,Uttar Pradesh,25.731389,79.939831,Ahmedabad,Gujarat,23.009964,72.762428,787.27,9,2,11,0,0,1.97
O1000018,C10017,S0021,"P00241,P00800,P00192,P00452",sports,26-05-2024 20.45,07-06-2024 4.25,10-06-2024 6.14,05-06-2024 20.45,47,265.1,25.47,4,4.594,20.776,Ahmedabad,Gujarat,22.980025,72.698869,Pune,Maharashtra,18.532446,74.349348,523.46,20,6,5,0,0,2.86
O1000019,C10018,S0285,"P00655,P00292",books,06-11-2024 5.18,11-11-2024 17.29,13-11-2024 0.28,09-11-2024 5.18,33,223.09,74.19,2,2.561,6.052,Coimbatore,Tamil Nadu,9.96441,77.094443,Thiruvananthapuram,Kerala,8.358582,76.953829,179.23,5,2,11,0,0,1.93
O1000020,C10019,S0011,"P00130,P00619,P00313,P00578",beauty,22-04-2024 13.39,02-05-2024 8.20,03-05-2024 4.17,30-04-2024 13.39,40,209.58,75.14,4,8.315,16.685,Pune,Maharashtra,17.9143,73.564751,Surat,Gujarat,21.002356,72.769258,353.36,13,0,4,0,0,2.9
O1000021,C10020,S0094,"P00314,P00071,P00099,P00174",toys,13-11-2024 3.33,06-12-2024 6.49,08-12-2024 18.10,03-12-2024 3.33,68,370.93,70.77,4,10.709,24.871,Jaipur,Rajasthan,27.480726,75.682509,Pune,Maharashtra,18.338887,73.904165,1032.66,3,2,11,0,0,3.19
O1000022,C10021,S0136,"P00631,P00782,P00595",automotive,13-12-2024 13.33,06-01-2025 6.42,09-01-2025 4.16,04-01-2025 13.33,70,296.94,39.56,3,8.582,21.204,Chennai,Tamil Nadu,13.083732,80.770006,Surat,Gujarat,21.310262,72.952613,1234.79,13,4,12,0,0,1.5
O1000023,C10022,S0022,P00057,groceries,17-11-2024 10.28,22-12-2024 13.25,28-12-2024 21.51,19-12-2024 10.28,97,47.19,44.03,1,1.306,4.74,Kolkata,West Bengal,21.711513,88.594024,Goa,Goa,15.527865,74.274387,1656.94,10,6,11,0,0,5.01
O1000024,C10023,S0211,P00600,automotive,17-11-2024 0.05,29-11-2024 16.11,01-12-2024 20.53,27-11-2024 0.05,48,49.01,46.93,1,1.014,9.71,Delhi,Delhi,29.968167,77.442379,Kanpur,Uttar Pradesh,26.620583,80.281363,464.52,0,6,11,0,0,4.48
O1000025,C10024,S0093,P00645,sports,07-06-2024 1.06,17-06-2024 13.23,18-06-2024 21.37,14-06-2024 1.06,43,51.61,34.7,1,0.618,1.537,Vadodara,Gujarat,22.531705,73.48326,Bhopal,Madhya Pradesh,23.087102,76.912048,356.82,1,4,6,0,0,4.25
O1000026,C10025,S0145,"P00470,P00691,P00100,P00091",automotive,18-01-2024 8.38,19-02-2024 3.58,22-02-2024 4.29,17-02-2024 8.38,85,192.59,121.01,4,3.898,19.397,Mysore,Karnataka,12.898559,76.33503,Lucknow,Uttar Pradesh,26.75095,80.893995,1611.97,8,3,1,0,0,2.45
O1000027,C10026,S0217,"P00109,P00413",fashion,05-07-2024 0.00,04-08-2024 15.57,06-08-2024 17.10,02-08-2024 0.00,81,107.08,48.93,2,6.188,3.787,Chennai,Tamil Nadu,13.026908,80.022531,Kanpur,Uttar Pradesh,26.31732,80.561784,1478.9,0,4,7,0,0,4.25
O1000028,C10027,S0092,"P00441,P00092,P00411,P00051",electronics,16-02-2024 20.40,22-03-2024 15.33,27-03-2024 15.36,19-03-2024 20.40,94,1013.63,85.6,4,24.138,117.766,Lucknow,Uttar Pradesh,27.379898,80.632738,Mysore,Karnataka,12.408394,76.547778,1718.25,20,4,2,1,0,3.11
O1000029,C10028,S0201,P00515,sports,16-06-2024 20.03,09-07-2024 21.36,13-07-2024 3.59,06-07-2024 20.03,69,51.13,13.64,1,0.401,9.052,Surat,Gujarat,21.477271,72.563587,Bengaluru,Karnataka,13.015087,77.588422,1081.41,20,6,6,0,0,4.96
O1000030,C10029,S0030,P00663,electronics,30-03-2024 10.27,09-04-2024 21.25,12-04-2024 8.32,07-04-2024 10.27,44,96.99,47.85,1,2.3,5.09,Pune,Maharashtra,17.685063,73.336094,Surat,Gujarat,21.334612,73.210459,406.02,10,5,3,0,0,3.75
O1000031,C10030,S0003,"P00286,P00446,P00414",beauty,08-03-2024 7.05,01-04-2024 0.02,05-04-2024 4.21,29-03-2024 7.05,72,233.2,61.7,3,11.398,14.468,Goa,Goa,15.878114,75.212804,Jaipur,Rajasthan,26.960792,75.404644,1232.5,7,4,3,0,0,1.8
O1000032,C10031,S0062,"P00049,P00035",fashion,06-07-2024 7.42,19-08-2024 16.17,25-08-2024 19.00,16-08-2024 7.42,113,106.12,50.21,2,2.092,14.14,Thiruvananthapuram,Kerala,7.283756,76.353887,Kolkata,West Bengal,22.471211,88.475722,2129.9,7,5,7,1,0,5.6
O1000033,C10032,S0117,"P00578,P00569,P00676,P00660",fashion,13-09-2024 22.08,18-10-2024 21.12,22-10-2024 9.18,15-10-2024 22.08,91,231.64,105.37,4,8.734,29.928,Jaipur,Rajasthan,27.699556,76.236753,Chennai,Tamil Nadu,13.028922,80.049395,1678.65,22,4,9,0,0,5.41
O1000034,C10033,S0293,"P00771,P00369,P00575",automotive,25-03-2024 12.21,05-04-2024 6.33,07-04-2024 2.34,02-04-2024 12.21,44,229.47,49.36,3,7.284,10.584,Jaipur,Rajasthan,26.339805,76.334089,Indore,Madhya Pradesh,22.550329,76.024461,422.53,12,0,3,0,0,3.11
O1000035,C10034,S0020,P00568,beauty,03-09-2024 4.01,01-10-2024 6.41,04-10-2024 6.10,28-09-2024 4.01,78,99.42,22.96,1,0.582,9.54,Lucknow,Uttar Pradesh,26.479458,82.064559,Goa,Goa,15.35081,74.109111,1486.89,4,1,9,0,0,1.5
O1000036,C10035,S0223,"P00329,P00237,P00511",books,22-06-2024 21.45,28-06-2024 2.41,29-06-2024 0.12,25-06-2024 21.45,32,285.65,24.16,3,2.687,13.55,Kolkata,West Bengal,21.686711,89.124959,Kolkata,West Bengal,22.898279,88.143744,168.35,21,5,6,0,0,2.5
O1000037,C10036,S0097,"P00363,P00238,P00420",automotive,27-08-2024 0.32,21-09-2024 14.48,24-09-2024 14.33,18-09-2024 0.32,73,185.92,32.84,3,5.44,17.732,Bengaluru,Karnataka,13.103553,77.646127,Vadodara,Gujarat,22.126337,72.953372,1119.49,0,1,8,0,0,4.24
O1000038,C10037,S0041,"P00269,P00325",furniture,13-03-2024 21.56,13-04-2024 0.59,16-04-2024 22.34,10-04-2024 21.56,83,165.15,59.36,2,2.56,92.996,Ahmedabad,Gujarat,23.486484,74.071905,Coimbatore,Tamil Nadu,10.922414,77.17359,1435.19,21,2,3,0,0,4.48
O1000039,C10038,S0213,"P00358,P00394,P00056,P00697",books,12-12-2024 0.02,28-12-2024 18.42,30-12-2024 2.11,26-12-2024 0.02,54,816.35,65.27,4,2.485,4.783,Nagpur,Maharashtra,20.509417,78.302424,Goa,Goa,15.5777,74.426904,684.45,0,3,12,0,0,5.07
O1000040,C10039,S0295,"P00121,P00592",beauty,12-10-2024 6.06,07-11-2024 8.02,12-11-2024 2.48,05-11-2024 6.06,77,96.47,64.53,2,15.245,76.449,Coimbatore,Tamil Nadu,11.818647,76.40894,Ahmedabad,Gujarat,22.808993,72.609704,1286.65,6,5,10,0,0,3.64
O1000041,C10040,S0282,"P00106,P00265",books,16-02-2024 15.02,10-03-2024 7.49,11-03-2024 17.18,07-03-2024 15.02,65,101.1,25.83,2,1.8,2.786,Nagpur,Maharashtra,20.811642,79.190446,Delhi,Delhi,28.862953,76.851642,925.77,15,4,2,0,0,5.04
O1000042,C10041,S0009,"P00196,P00244,P00176",automotive,08-01-2024 16.07,12-02-2024 18.08,18-02-2024 14.49,09-02-2024 16.07,96,141.85,103.11,3,12.495,86.678,Jaipur,Rajasthan,27.725897,75.990784,Bengaluru,Karnataka,12.879472,77.806024,1661.58,16,0,1,0,0,5.53
O1000043,C10042,S0286,"P00685,P00013",books,01-10-2024 3.55,06-11-2024 22.45,11-11-2024 6.21,03-11-2024 3.55,96,417.39,26.47,2,0.694,1.928,Kolkata,West Bengal,22.624292,87.38089,Thiruvananthapuram,Kerala,8.704887,77.290572,1885.56,3,1,10,1,0,2.17
O1000044,C10043,S0215,"P00634,P00075",electronics,20-08-2024 18.34,25-08-2024 14.35,27-08-2024 17.38,22-08-2024 18.34,34,227.9,62.48,2,3.771,11.7,Coimbatore,Tamil Nadu,11.692881,77.192162,Mysore,Karnataka,12.359756,76.918883,79.89,18,1,8,0,0,3.12
O1000045,C10044,S0219,"P00630,P00149,P00025,P00591",automotive,10-12-2024 7.01,20-12-2024 14.48,25-12-2024 2.19,18-12-2024 7.01,48,649.06,184.77,4,24.198,28.51,Jaipur,Rajasthan,25.825616,75.504676,Kanpur,Uttar Pradesh,26.505699,80.776439,531.49,7,1,12,0,0,1.72
O1000046,C10045,S0071,P00761,beauty,26-10-2024 13.42,08-11-2024 18.28,14-11-2024 4.49,05-11-2024 13.42,55,82.22,61.47,1,7.332,3.656,Nagpur,Maharashtra,22.229791,79.396518,Jaipur,Rajasthan,27.278692,75.772578,670.03,13,5,10,0,0,2.16
O1000047,C10046,S0014,"P00240,P00291,P00672",fashion,22-11-2024 12.16,30-11-2024 9.33,02-12-2024 3.17,28-11-2024 12.16,38,352.47,74.36,3,3.676,36.341,Coimbatore,Tamil Nadu,10.68433,75.733953,Bengaluru,Karnataka,12.447651,77.758981,295.13,12,4,11,0,0,3.68
O1000048,C10047,S0169,P00282,sports,25-02-2024 7.11,20-03-2024 8.38,24-03-2024 8.01,18-03-2024 7.11,72,52.16,78.61,1,4.305,10.846,Ahmedabad,Gujarat,23.399659,72.739734,Bengaluru,Karnataka,13.02036,77.481784,1257.76,7,6,2,1,0,1.62
O1000049,C10048,S0043,"P00230,P00416,P00608,P00596",automotive,29-08-2024 5.53,15-09-2024 6.31,19-09-2024 0.19,12-09-2024 5.53,59,252.92,72.96,4,10.574,16.266,Mumbai,Maharashtra,19.606891,72.161691,Jaipur,Rajasthan,26.507371,75.824591,853.77,5,3,8,0,0,2.08
O1000050,C10049,S0062,"P00316,P00123,P00341",books,13-11-2024 16.41,18-12-2024 5.04,22-12-2024 20.21,15-12-2024 16.41,93,310.82,85.7,3,23.421,8.848,Goa,Goa,15.83858,74.821154,Kolkata,West Bengal,22.471211,88.475722,1611.47,16,2,11,1,0,5.6
O1000051,C10050,S0175,"P00159,P00571,P00353",books,16-06-2024 2.19,03-07-2024 3.18,06-07-2024 19.56,30-06-2024 2.19,59,199.36,67.36,3,14.454,77.462,Indore,Madhya Pradesh,23.02238,76.792064,Hyderabad,Telangana,17.249722,78.846888,676.75,2,6,6,0,0,4.78
O1000052,C10051,S0050,P00118,books,23-04-2024 5.57,05-05-2024 15.48,06-05-2024 12.41,03-05-2024 5.57,45,50.74,32.47,1,0.702,0.553,Bengaluru,Karnataka,12.700025,77.799572,Goa,Goa,15.339112,74.003957,503.74,5,1,4,0,0,3.74
O1000053,C10052,S0293,P00584,beauty,21-11-2024 1.34,29-11-2024 8.10,30-11-2024 16.10,27-11-2024 1.34,38,48.16,65.72,1,0.951,3.561,Vadodara,Gujarat,22.483799,73.614993,Indore,Madhya Pradesh,22.550329,76.024461,247.6,1,3,11,0,0,3.11
O1000054,C10053,S0091,"P00492,P00761",beauty,24-12-2024 4.50,21-01-2025 0.02,22-01-2025 10.30,17-01-2025 4.50,74,120.88,106.03,2,10.182,14.85,Lucknow,Uttar Pradesh,26.553826,81.026479,Pune,Maharashtra,18.345276,73.58014,1190.41,4,1,12,0,0,5.59
O1000055,C10054,S0130,"P00646,P00415",sports,28-11-2024 23.28,29-12-2024 19.04,06-01-2025 15.26,26-12-2024 23.28,92,113.39,46.25,2,5.717,12.692,Surat,Gujarat,22.9632,72.83065,Kolkata,West Bengal,22.606773,88.327103,1588.42,23,3,11,1,0,3.04
O1000056,C10055,S0013,"P00517,P00038,P00094,P00549",automotive,29-02-2024 5.02,21-03-2024 17.13,22-03-2024 20.21,18-03-2024 5.02,62,336.75,42.65,4,7.387,29.731,Chennai,Tamil Nadu,13.616846,80.339427,Mumbai,Maharashtra,19.148327,72.748676,1016.54,5,3,2,1,0,2.59
O1000057,C10056,S0176,"P00719,P00037,P00343,P00106",automotive,24-01-2024 0.54,31-01-2024 19.28,04-02-2024 22.40,30-01-2024 0.54,43,527.56,110.01,4,3.366,8.263,Delhi,Delhi,28.424214,77.591274,Jaipur,Rajasthan,27.080529,75.656775,241.99,0,2,1,0,0,4.91
O1000058,C10057,S0254,"P00282,P00374,P00592,P00241",sports,04-06-2024 6.56,23-06-2024 23.00,25-06-2024 10.31,21-06-2024 6.56,60,198.76,93.17,4,20.336,87.11,Kanpur,Uttar Pradesh,26.480042,80.071654,Ahmedabad,Gujarat,23.130159,72.785901,824.12,6,1,6,0,0,3.7
O1000059,C10058,S0218,"P00794,P00376,P00430",books,29-02-2024 0.44,02-04-2024 5.09,05-04-2024 8.08,30-03-2024 0.44,87,162.91,24.59,3,1.821,24.203,Kolkata,West Bengal,23.013395,88.536368,Ahmedabad,Gujarat,22.883919,72.73198,1617.56,0,3,2,0,0,3.27
O1000060,C10059,S0227,P00648,books,30-04-2024 12.46,16-05-2024 19.44,18-05-2024 18.31,14-05-2024 12.46,54,51.39,42.38,1,0.478,1.406,Goa,Goa,14.993074,74.561603,Surat,Gujarat,20.986065,72.648108,696.4,12,1,4,0,0,4.12
O1000061,C10060,S0144,"P00012,P00443",books,10-03-2024 18.30,01-04-2024 6.51,04-04-2024 11.49,28-03-2024 18.30,66,109.37,27.71,2,0.694,3.318,Nagpur,Maharashtra,22.031821,78.424601,Kolkata,West Bengal,22.469391,88.082868,995,18,6,3,0,0,3.64
O1000062,C10061,S0108,"P00659,P00379,P00278,P00073",beauty,20-08-2024 21.11,11-09-2024 8.43,15-09-2024 9.02,08-09-2024 21.11,68,504.65,56.27,4,6.646,26.112,Coimbatore,Tamil Nadu,11.523032,76.143819,Nagpur,Maharashtra,20.950047,79.002718,1091.65,21,1,8,0,0,2.17
O1000063,C10062,S0221,"P00411,P00662,P00270",fashion,09-12-2024 20.00,20-12-2024 3.03,21-12-2024 23.32,17-12-2024 20.00,43,148.36,56.56,3,6.662,15.826,Goa,Goa,15.082763,73.520447,Pune,Maharashtra,18.246439,73.919577,354.34,20,0,12,0,0,4.1
O1000064,C10063,S0010,"P00654,P00273",books,02-08-2024 18.49,07-08-2024 12.28,05-08-2024 23.58,03-08-2024 18.49,27,158.61,46.57,2,2.87,3.301,Mysore,Karnataka,12.577902,76.326181,Mysore,Karnataka,12.160416,76.761735,66.28,18,4,8,0,0,3.58
O1000065,C10064,S0087,"P00400,P00598,P00790,P00568",toys,20-03-2024 11.51,05-04-2024 11.04,07-04-2024 3.48,03-04-2024 11.51,53,491.18,41.26,4,6.266,33.454,Surat,Gujarat,21.536817,72.124768,Bhopal,Madhya Pradesh,23.375211,77.47485,586.5,11,2,3,0,0,4.97
O1000066,C10065,S0267,"P00293,P00534,P00061",sports,01-12-2024 0.52,02-01-2025 0.55,07-01-2025 4.57,30-12-2024 0.52,89,314.88,79.63,3,11.925,26.715,Kolkata,West Bengal,22.518389,88.691031,Vadodara,Gujarat,22.559717,73.217423,1588.46,0,6,12,0,0,2.82
O1000067,C10066,S0296,"P00512,P00095,P00378,P00758",books,07-09-2024 2.51,18-09-2024 3.07,21-09-2024 13.59,16-09-2024 2.51,47,225.17,54.15,4,6.928,5.915,Indore,Madhya Pradesh,21.955551,75.9586,Nagpur,Maharashtra,21.236274,79.317947,356.4,2,5,9,0,0,4.86
O1000068,C10067,S0105,"P00056,P00205",automotive,27-07-2024 5.50,27-08-2024 17.26,31-08-2024 20.52,25-08-2024 5.50,86,230.85,47.99,2,3.298,13.012,Jaipur,Rajasthan,26.326854,75.788435,Mysore,Karnataka,12.524551,76.741276,1537.97,5,5,7,0,0,4.39
O1000069,C10068,S0204,"P00102,P00525",books,17-01-2024 6.53,25-01-2024 22.21,25-01-2024 14.30,24-01-2024 6.53,36,105.91,66.15,2,1.02,7.199,Coimbatore,Tamil Nadu,11.800915,76.37389,Bengaluru,Karnataka,13.037352,77.66272,196.19,6,2,1,0,0,4.91
O1000070,C10069,S0120,"P00268,P00076",furniture,21-04-2024 9.54,01-05-2024 14.02,02-05-2024 8.52,28-04-2024 9.54,41,94.62,24.48,2,3.792,29.471,Vadodara,Gujarat,22.236452,72.151993,Indore,Madhya Pradesh,22.968817,75.443022,347.5,9,6,4,0,0,3.25
O1000071,C10070,S0154,P00258,furniture,15-08-2024 7.32,23-08-2024 15.28,27-08-2024 9.14,22-08-2024 7.32,43,88.34,14.75,1,0.936,20.475,Ahmedabad,Gujarat,21.897018,72.170964,Mumbai,Maharashtra,18.961851,72.946424,336.23,7,3,8,0,1,2.74
O1000072,C10071,S0154,"P00201,P00710",groceries,04-07-2024 10.49,05-08-2024 15.03,10-08-2024 5.47,03-08-2024 10.49,88,101.58,22.46,2,2.917,8.354,Kolkata,West Bengal,23.092136,88.396122,Mumbai,Maharashtra,18.961851,72.946424,1666.92,10,3,7,0,0,2.74
O1000073,C10072,S0105,P00525,fashion,17-12-2024 19.05,24-12-2024 5.02,28-12-2024 23.42,22-12-2024 19.05,41,47.23,14.13,1,0.478,6.061,Coimbatore,Tamil Nadu,11.444933,77.161469,Mysore,Karnataka,12.524551,76.741276,128.45,19,1,12,0,0,4.39
O1000074,C10073,S0069,"P00193,P00251,P00294,P00351",automotive,05-10-2024 1.31,10-10-2024 5.07,10-10-2024 19.18,07-10-2024 1.31,31,213.68,62.07,4,11.266,16.175,Coimbatore,Tamil Nadu,10.570776,78.326095,Coimbatore,Tamil Nadu,10.896921,77.16232,132.21,1,5,10,0,0,1.5
O1000075,C10074,S0174,P00691,automotive,01-02-2024 5.37,20-02-2024 7.41,22-02-2024 19.14,17-02-2024 5.37,60,48.98,55.99,1,1.313,10.079,Nagpur,Maharashtra,22.407902,79.338996,Goa,Goa,15.338604,74.265801,949.91,5,3,2,0,0,2.27
O1000076,C10075,S0052,"P00674,P00305,P00170",fashion,21-05-2024 19.56,04-06-2024 5.31,05-06-2024 2.28,01-06-2024 19.56,47,363.33,86.96,3,24.785,133.991,Pune,Maharashtra,19.081362,73.234731,Indore,Madhya Pradesh,22.59506,76.034698,487.11,19,1,5,0,0,3.31
O1000077,C10076,S0069,"P00071,P00768",beauty,03-03-2024 15.47,28-03-2024 2.12,31-03-2024 22.51,25-03-2024 15.47,73,125.05,53.04,2,4.73,10.306,Vadodara,Gujarat,22.15366,73.11937,Coimbatore,Tamil Nadu,10.896921,77.16232,1323.53,15,6,3,0,0,1.5
O1000078,C10077,S0214,"P00298,P00224,P00304",beauty,16-02-2024 17.00,08-03-2024 21.51,12-03-2024 23.11,05-03-2024 17.00,67,149.39,110.37,3,18.626,135.928,Pune,Maharashtra,17.8917,73.191883,Chennai,Tamil Nadu,13.037773,80.07686,913.95,17,4,2,0,0,4.48
O1000079,C10078,S0266,"P00652,P00356,P00349",books,24-11-2024 6.15,06-12-2024 22.32,07-12-2024 5.49,04-12-2024 6.15,45,153.02,66.15,3,5.629,8.67,Indore,Madhya Pradesh,23.296282,76.504865,Jaipur,Rajasthan,27.098918,76.123518,424.57,6,6,11,0,0,4
O1000080,C10079,S0257,P00086,home_decor,11-01-2024 22.09,24-01-2024 14.31,24-01-2024 19.55,22-01-2024 22.09,44,70.24,46.49,1,2.025,8.064,Delhi,Delhi,28.791014,76.036716,Kanpur,Uttar Pradesh,26.506416,80.574646,514.05,22,3,1,0,0,2.66
O1000081,C10080,S0174,"P00477,P00450,P00252,P00602",books,19-06-2024 1.36,05-07-2024 15.15,07-07-2024 11.23,03-07-2024 1.36,55,544.85,94.44,4,8.587,16.885,Ahmedabad,Gujarat,22.600058,72.837846,Goa,Goa,15.338604,74.265801,821.26,1,2,6,0,0,2.27
O1000082,C10081,S0266,P00691,automotive,05-03-2024 21.55,05-04-2024 22.29,11-04-2024 17.43,03-04-2024 21.55,88,48.86,28.03,1,1.34,11.05,Mysore,Karnataka,13.702273,76.105631,Jaipur,Rajasthan,27.098918,76.123518,1489.64,21,1,3,0,0,4
O1000083,C10082,S0044,"P00185,P00232,P00148",toys,15-04-2024 15.48,18-05-2024 5.55,22-05-2024 23.16,16-05-2024 15.48,89,145.8,87.7,3,6.897,13.727,Bengaluru,Karnataka,13.472235,77.658532,Delhi,Delhi,28.805097,77.275651,1705.39,15,0,4,0,0,2.22
O1000084,C10083,S0288,P00250,furniture,10-10-2024 12.31,03-11-2024 9.48,06-11-2024 21.54,01-11-2024 12.31,71,82.15,117.28,1,24.931,106.927,Pune,Maharashtra,18.811235,73.77227,Delhi,Delhi,28.544262,77.334887,1141.23,12,3,10,0,0,2.26
O1000085,C10084,S0098,"P00305,P00740,P00453,P00553",beauty,27-10-2024 4.00,17-11-2024 20.07,22-11-2024 22.02,15-11-2024 4.00,70,502.44,24.87,4,4.594,20.25,Pune,Maharashtra,17.701212,72.40883,Chennai,Tamil Nadu,13.09218,80.150306,975.14,4,6,10,0,0,3.64
O1000086,C10085,S0285,"P00209,P00064,P00412,P00583",automotive,29-04-2024 0.38,01-06-2024 0.04,05-06-2024 5.21,30-05-2024 0.38,89,280.78,30.83,4,5.439,18.254,Bhopal,Madhya Pradesh,24.009404,77.204016,Thiruvananthapuram,Kerala,8.358582,76.953829,1740.5,0,0,4,0,0,1.93
O1000087,C10086,S0164,P00244,automotive,16-03-2024 10.44,25-03-2024 7.28,27-03-2024 17.37,22-03-2024 10.44,42,54.01,59.55,1,2.685,6.741,Indore,Madhya Pradesh,23.958436,75.815585,Ahmedabad,Gujarat,22.960944,72.61523,344.76,10,5,3,0,0,2.48
